River,Location within the river,Predation level,Group or single,Group size,Number of approaches to the True stimulus,Number of approaches to the False stimulus,First approach (to True or False stimulus)
Turure,lower,low,singleton,1,1,0,t
Turure,lower,low,group,4,3,1,t
Turure,lower,low,singleton,1,0,0,NA
Turure,lower,low,group,3,2,2,f
Turure,lower,low,group,8,3,4,t
Turure,lower,low,singleton,1,1,0,t
Turure,lower,low,group,5,1,1,t
Turure,lower,low,group,11,2,0,t
Turure,lower,low,singleton,1,1,2,f
Turure,lower,low,group,6,1,0,t
Turure,lower,low,singleton,1,0,1,f
Turure,lower,low,singleton,1,0,1,f
Turure,lower,low,group,6,1,0,t
Aripo,upper,low,group,3,1,2,t
Aripo,upper,low,group,6,6,3,f
Aripo,upper,low,group,4,3,1,t
Aripo,upper,low,singleton,1,0,0,NA
Aripo,upper,low,group,4,2,2,f
Aripo,upper,low,group,2,2,2,f
Aripo,upper,low,group,2,0,0,NA
Aripo,upper,low,group,3,0,0,NA
Aripo,upper,low,singleton,1,0,2,f
Aripo,upper,low,group,8,0,0,NA
Aripo,upper,low,group,7,0,0,NA
Aripo,upper,low,group,20,0,1,f
Turure,lower,low,group,4,6,1,t
Turure,lower,low,group,2,1,0,t
Turure,lower,low,group,3,1,1,t
Turure,lower,low,group,3,1,0,t
Turure,lower,low,singleton,1,1,1,f
Turure,lower,low,group,4,3,0,t
Turure,lower,low,singleton,1,0,0,NA
Turure,lower,low,singleton,1,1,0,t
Turure,lower,low,group,8,0,0,NA
Turure,lower,low,group,5,3,0,t
Turure,lower,low,group,5,3,2,f
Turure,lower,low,group,13,0,1,f
Turure,lower,low,group,20,1,1,t
Turure,lower,low,group,10,1,0,t
Turure,lower,low,group,15,0,2,f
Turure,lower,low,group,5,3,1,f
Turure,lower,low,singleton,1,2,0,t
Turure,lower,low,group,4,0,1,f
Aripo,lower,high,group,8,0,0,NA
Aripo,lower,high,group,40,0,0,NA
Aripo,lower,high,group,15,1,0,t
Aripo,lower,high,group,15,0,1,f
Aripo,lower,high,group,10,0,1,f
Aripo,lower,high,group,20,3,2,t
Aripo,lower,high,group,13,0,0,NA
Aripo,lower,high,group,15,0,0,NA
Aripo,lower,high,group,7,0,0,NA
Aripo,lower,high,group,15,0,1,f
Aripo,lower,high,group,15,0,0,NA
Aripo,lower,high,group,18,0,0,NA
Aripo,lower,high,group,7,0,0,NA
Aripo,lower,high,group,23,6,0,t
Aripo,lower,high,group,18,0,1,f
Aripo,lower,high,group,15,0,0,NA
Aripo,lower,high,group,25,0,0,NA
Aripo,lower,high,group,18,1,0,t
